----
50	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
51	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
52	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
53	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
54	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
55	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
56	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
57	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
58	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
59	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
60	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
61	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
62	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
63	2017-10-10 01:14:00.23486	Repository	A:UnitTestAdapter: Running test	T:11				Cache invalidated by path: /root/node1
64	2017-10-10 01:14:00.23586	System	A:UnitTestAdapter: Running test	T:11				Settings tree cache reloaded: 0 items.
65	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
66	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
67	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
68	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
69	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
70	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
71	2017-10-10 01:14:00.23586	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>72	2017-10-10 01:14:00.23884	Test	A:UnitTestAdapter: Running test	T:11				END test: InMemSearch_Indexing_Delete
>73	2017-10-10 01:14:00.24088	Test	A:UnitTestAdapter: Running test	T:11				START test: InMemSearch_Indexing_Rename
74	2017-10-10 01:14:00.24689	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
75	2017-10-10 01:14:00.24689	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
76	2017-10-10 01:14:00.24689	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
77	2017-10-10 01:14:00.24689	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
